,Date,MinTemp,MaxTemp,Rainfall_mm,Pressure9am,Cloud9am,Temp9am
2133,2015-01-01,11.4,33.5,0.0,1013.5,,21.0
2134,2015-01-02,15.5,39.6,0.0,1016.0,,25.6
2135,2015-01-03,17.1,38.3,0.0,1017.9,,29.2
2136,2015-01-04,26.0,33.1,0.0,1013.6,8.0,27.4
2137,2015-01-05,19.0,35.2,0.0,1017.4,8.0,25.6
2138,2015-01-06,20.5,36.1,0.0,1019.1,,27.3
2139,2015-01-07,20.3,36.5,0.0,1018.0,2.0,26.4
2140,2015-01-08,20.7,34.1,0.0,1012.4,,28.7
2141,2015-01-09,20.4,26.4,5.4,1009.0,7.0,20.8
2142,2015-01-10,19.7,21.7,7.0,1010.9,8.0,20.3
2143,2015-01-11,18.4,30.6,12.6,1012.5,8.0,20.8
2144,2015-01-12,17.6,33.1,0.2,1013.5,,23.6
2145,2015-01-13,18.1,27.0,0.0,1006.7,7.0,24.1
2146,2015-01-14,17.9,28.1,46.8,1000.4,8.0,18.3
2147,2015-01-15,13.5,28.3,0.4,1006.4,,18.5
2148,2015-01-16,11.4,28.4,0.0,1010.2,,17.7
2149,2015-01-17,15.8,27.6,0.0,1010.0,,19.9
2150,2015-01-18,12.1,28.0,0.0,1012.8,,19.1
2151,2015-01-19,14.7,28.6,0.0,1013.3,,18.8
2152,2015-01-20,14.4,31.1,0.0,1009.7,,23.0
2153,2015-01-21,18.1,28.8,8.4,1009.8,7.0,20.7
2154,2015-01-22,17.7,33.7,0.0,1012.7,,24.0
2155,2015-01-23,20.2,36.0,0.0,1007.6,2.0,26.2
2156,2015-01-24,20.1,30.8,15.8,1005.4,8.0,24.3
2157,2015-01-25,18.0,26.9,0.2,1005.6,,21.5
2158,2015-01-26,11.5,26.0,0.0,1012.8,,17.8
2159,2015-01-27,15.4,28.9,0.0,1012.4,8.0,19.3
2160,2015-01-28,16.6,27.5,0.0,1013.9,3.0,20.7
2161,2015-01-29,14.0,25.0,0.0,1016.2,,17.8
2162,2015-01-30,9.2,24.0,0.0,1012.8,,16.3
2163,2015-01-31,10.5,26.8,0.0,1009.4,,16.4
2164,2015-02-01,13.8,28.5,0.0,1009.4,8.0,19.1
2165,2015-02-02,16.9,29.0,0.0,1015.4,,20.3
2166,2015-02-03,13.6,29.8,0.0,1020.2,,20.2
2167,2015-02-04,15.2,29.5,0.0,1014.4,,20.4
2168,2015-02-05,15.0,31.4,0.0,1021.5,,20.4
2169,2015-02-06,15.7,33.1,0.0,1026.1,,22.4
2170,2015-02-07,16.9,33.5,0.0,1023.8,,24.1
2171,2015-02-08,19.6,38.8,0.2,1018.7,8.0,22.3
2172,2015-02-09,20.4,36.1,0.0,1019.9,,23.7
2173,2015-02-10,18.3,34.0,0.0,1021.8,,23.9
2174,2015-02-11,20.3,35.8,0.0,1020.5,,25.8
2175,2015-02-12,17.8,31.9,9.8,1021.4,,20.9
2176,2015-02-13,18.3,32.0,0.0,1022.9,,23.1
2177,2015-02-14,19.3,24.7,0.2,1019.6,8.0,22.4
2178,2015-02-15,16.9,30.9,10.6,1016.5,1.0,20.2
2179,2015-02-16,19.7,34.9,0.0,1015.4,2.0,22.6
2180,2015-02-17,20.5,33.9,0.0,1014.1,,25.2
2181,2015-02-18,19.7,28.2,0.0,1018.2,7.0,20.8
2182,2015-02-19,18.0,33.1,6.0,1018.6,,22.2
2183,2015-02-20,19.0,33.3,0.2,1016.6,,23.7
2184,2015-02-21,18.4,34.6,0.0,1015.4,,23.2
2185,2015-02-22,19.0,34.5,0.0,1015.9,,23.2
2186,2015-02-23,18.4,35.9,0.0,1014.6,,23.8
2187,2015-02-24,17.5,29.5,8.0,1014.4,,21.8
2188,2015-02-25,17.6,30.3,0.2,1014.3,1.0,21.6
2189,2015-02-26,18.0,29.8,0.0,1009.4,7.0,20.1
2190,2015-02-27,14.5,31.5,0.0,1009.5,,19.6
2191,2015-02-28,18.1,35.1,0.0,1008.4,8.0,20.7
2192,2015-03-01,19.3,28.6,1.4,1007.5,8.0,19.4
2193,2015-03-02,12.1,28.6,0.2,1017.4,,16.6
2194,2015-03-03,16.5,32.0,0.0,1014.5,8.0,19.8
2195,2015-03-04,12.7,30.4,0.0,1014.2,,17.6
2196,2015-03-05,15.1,23.4,0.0,1012.0,,15.7
2197,2015-03-06,11.2,22.3,0.0,1011.5,8.0,14.7
2198,2015-03-07,10.0,25.2,0.0,1012.6,,15.0
2199,2015-03-08,11.3,30.3,0.0,1013.0,1.0,16.2
2200,2015-03-09,10.9,29.5,0.0,1013.1,,17.6
2201,2015-03-10,12.6,30.0,0.0,1017.0,,17.1
2202,2015-03-11,9.3,31.7,0.0,1017.4,,15.0
2203,2015-03-12,11.8,28.9,0.0,1015.9,,15.8
2204,2015-03-13,14.5,27.6,0.0,1019.6,,16.9
2205,2015-03-14,10.2,29.0,0.0,1019.5,,15.3
2206,2015-03-15,12.7,28.3,0.0,1011.3,,19.8
2207,2015-03-16,10.0,27.9,0.0,1016.7,,14.8
2208,2015-03-17,14.5,29.6,0.0,1011.3,8.0,16.8
2209,2015-03-18,16.6,28.3,2.8,1004.9,,20.1
2210,2015-03-19,12.7,33.6,0.0,1011.9,,16.6
2211,2015-03-20,16.6,26.8,0.0,1013.3,3.0,18.7
2212,2015-03-21,13.2,27.3,0.0,1023.9,,15.8
2213,2015-03-22,10.8,30.7,0.0,1022.7,,16.4
2214,2015-03-23,16.4,31.9,0.0,1013.7,5.0,22.0
2215,2015-03-24,14.5,25.1,0.4,1012.2,2.0,16.1
2216,2015-03-25,7.9,24.6,0.0,1017.3,,13.1
2217,2015-03-26,7.8,19.4,0.0,1019.2,8.0,12.9
2218,2015-03-27,10.3,20.9,0.0,1023.0,,12.2
2219,2015-03-28,5.5,23.9,0.0,1024.4,,10.1
2220,2015-03-29,5.8,25.8,0.0,1023.8,,11.6
2221,2015-03-30,8.6,28.2,0.0,1025.1,7.0,12.5
2222,2015-03-31,9.0,29.4,0.0,1026.6,,13.7
2223,2015-04-01,10.4,29.1,0.0,1023.1,,15.1
2224,2015-04-02,15.1,26.4,0.0,1016.7,8.0,21.3
2225,2015-04-03,8.7,26.8,0.0,1022.4,,12.7
2226,2015-04-04,11.5,23.8,0.0,1019.8,7.0,16.3
2227,2015-04-05,15.5,24.3,0.6,1012.7,8.0,17.9
2228,2015-04-06,10.8,21.1,0.0,1007.3,7.0,15.6
2229,2015-04-07,11.8,19.9,8.8,1008.3,7.0,14.2
2230,2015-04-08,10.9,22.3,4.0,1017.2,6.0,14.6
2231,2015-04-09,7.3,22.1,0.0,1024.0,,14.6
2232,2015-04-10,7.6,24.2,0.0,1025.8,,15.2
2233,2015-04-11,8.2,23.7,0.0,1023.7,4.0,16.0
2234,2015-04-12,11.8,26.5,0.0,1020.1,7.0,16.3
2235,2015-04-13,8.3,25.5,0.0,1022.7,,15.4
2236,2015-04-14,10.3,21.8,0.0,1022.3,7.0,14.1
2237,2015-04-15,12.7,24.2,3.0,1022.1,8.0,16.1
2238,2015-04-16,10.7,26.6,1.4,1023.0,,16.3
2239,2015-04-17,15.1,17.7,0.2,1023.8,8.0,15.8
2240,2015-04-18,15.2,19.9,35.8,1015.9,8.0,17.5
2241,2015-04-19,9.9,17.4,15.8,1021.1,3.0,12.6
2242,2015-04-20,6.9,18.2,0.2,1031.0,,13.1
2243,2015-04-21,10.4,19.4,0.0,1028.1,,15.3
2244,2015-04-22,5.9,23.1,0.0,1020.8,,15.8
2245,2015-04-23,12.7,24.0,0.2,1014.6,8.0,15.2
2246,2015-04-24,15.2,20.0,3.6,1007.2,8.0,16.0
2247,2015-04-25,10.0,16.0,7.0,1008.1,8.0,12.8
2248,2015-04-26,7.1,19.7,2.6,1014.1,8.0,9.2
2249,2015-04-27,5.8,17.8,0.2,1022.1,1.0,11.2
2250,2015-04-28,3.6,18.5,0.0,1027.3,,11.1
2251,2015-04-29,4.4,19.6,0.0,1031.0,,11.5
2252,2015-04-30,4.7,20.9,0.0,1031.2,4.0,11.4
2253,2015-05-01,6.4,22.5,0.0,1028.6,,13.5
2254,2015-05-02,7.7,20.7,0.0,1022.5,,11.7
2255,2015-05-03,7.5,23.7,0.0,1019.1,,13.5
2256,2015-05-04,5.0,22.3,0.0,1017.5,,12.4
2257,2015-05-05,5.5,20.5,0.0,1005.9,8.0,11.9
2258,2015-05-06,2.7,15.5,0.0,1017.9,,9.1
2259,2015-05-07,6.7,14.7,0.2,1021.1,8.0,9.7
2260,2015-05-08,6.1,13.8,0.0,1022.6,8.0,10.1
2261,2015-05-09,9.9,15.4,0.8,1018.6,8.0,11.8
2262,2015-05-10,10.4,14.3,2.8,1009.6,8.0,10.6
2263,2015-05-11,9.9,18.0,9.2,1011.9,8.0,12.4
2264,2015-05-12,11.2,17.2,0.8,1015.4,8.0,12.2
2265,2015-05-13,4.5,13.5,0.6,1020.8,5.0,6.1
2266,2015-05-14,2.6,15.8,0.0,1029.9,,7.6
2267,2015-05-15,2.3,17.8,0.0,1034.4,8.0,6.0
2268,2015-05-16,3.2,18.9,0.0,1037.4,,8.8
2269,2015-05-17,2.4,18.0,0.2,1036.6,,8.6
2270,2015-05-18,2.3,19.2,0.0,1031.8,,6.6
2271,2015-05-19,6.7,17.4,3.4,1017.6,8.0,10.4
2272,2015-05-20,10.3,17.6,12.8,1014.4,8.0,14.9
2273,2015-05-21,6.1,15.0,0.0,1020.9,,11.5
2274,2015-05-22,8.0,16.9,0.0,1025.4,,12.5
2275,2015-05-23,1.4,16.6,0.0,1031.8,,6.1
2276,2015-05-24,-0.2,13.9,0.0,1033.3,,3.5
2277,2015-05-25,2.6,15.2,0.0,1033.1,,6.9
2278,2015-05-26,2.0,13.8,0.0,1030.9,,6.9
2279,2015-05-27,5.7,14.7,0.2,1025.2,7.0,8.8
2280,2015-05-28,7.4,18.7,3.2,1022.7,8.0,11.7
2281,2015-05-29,9.1,15.8,11.2,1022.6,1.0,11.0
2282,2015-05-30,5.0,15.4,0.0,1024.0,8.0,8.8
2283,2015-05-31,8.4,14.5,0.0,1018.4,8.0,9.6
2284,2015-06-01,3.8,11.5,2.4,1021.5,,6.0
2285,2015-06-02,-1.4,12.5,0.0,1028.3,,3.2
2286,2015-06-03,-1.2,12.6,0.0,1025.7,,2.9
2287,2015-06-04,-1.2,9.9,0.2,1023.5,8.0,2.6
2288,2015-06-05,2.6,13.3,6.4,1022.1,1.0,7.1
2289,2015-06-06,0.8,13.2,0.2,1031.4,8.0,3.3
2290,2015-06-07,2.3,10.9,0.0,1030.4,8.0,5.0
2291,2015-06-08,1.0,16.7,0.2,1024.7,8.0,4.3
2292,2015-06-09,4.3,15.0,0.0,1021.1,8.0,12.2
2293,2015-06-10,-1.0,13.4,0.0,1033.4,,4.7
2294,2015-06-11,0.7,15.2,0.0,1037.8,,6.5
2295,2015-06-12,-0.8,15.2,0.2,1035.6,,5.4
2296,2015-06-13,0.3,15.3,0.0,1032.1,7.0,5.1
2297,2015-06-14,2.4,15.7,0.0,1029.3,2.0,6.1
2298,2015-06-15,1.8,14.0,0.2,1027.4,4.0,5.9
2299,2015-06-16,5.9,14.4,14.6,1019.9,8.0,11.3
2300,2015-06-17,11.3,12.6,11.6,1010.9,8.0,12.2
2301,2015-06-18,9.9,11.1,22.4,1016.2,8.0,10.4
2302,2015-06-19,5.8,13.7,16.4,1021.3,,8.5
2303,2015-06-20,-0.9,12.2,0.2,1026.3,,3.6
2304,2015-06-21,-1.5,12.1,0.0,1030.0,,3.1
2305,2015-06-22,-1.2,11.3,0.0,1030.0,,3.7
2306,2015-06-23,1.4,16.8,0.0,1026.0,,7.3
2307,2015-06-24,7.0,14.0,7.2,1022.1,8.0,9.8
2308,2015-06-25,8.2,13.4,1.0,1026.1,8.0,8.8
2309,2015-06-26,1.8,14.3,0.2,1034.0,8.0,4.6
2310,2015-06-27,2.3,13.2,0.0,1035.0,7.0,6.1
2311,2015-06-28,5.6,12.4,0.2,1034.3,1.0,7.3
2312,2015-06-29,0.4,15.0,0.0,1034.3,8.0,3.3
2313,2015-06-30,1.0,8.6,0.0,1029.7,8.0,5.0
2314,2015-07-01,2.9,10.6,0.0,1029.5,8.0,5.3
2315,2015-07-02,4.6,12.1,0.8,1022.4,,6.9
2316,2015-07-03,-2.1,11.0,0.8,1029.0,,2.5
2317,2015-07-04,1.1,11.6,0.0,1026.3,8.0,2.6
2318,2015-07-05,0.7,11.8,0.0,1023.9,8.0,3.6
2319,2015-07-06,3.6,10.0,0.0,1019.2,8.0,8.2
2320,2015-07-07,4.8,14.8,0.0,1022.7,,7.6
2321,2015-07-08,0.1,14.8,0.0,1028.9,,4.5
2322,2015-07-09,-0.5,13.2,0.0,1030.1,3.0,3.3
2323,2015-07-10,3.3,14.2,1.8,1020.4,8.0,9.0
2324,2015-07-11,8.0,13.9,2.4,1012.0,7.0,11.2
2325,2015-07-12,5.1,11.3,5.4,1005.9,8.0,5.9
2326,2015-07-13,5.9,13.7,2.8,1008.2,8.0,11.3
2327,2015-07-14,5.0,9.1,0.0,1014.9,,6.5
2328,2015-07-15,4.4,6.8,10.0,1016.6,8.0,4.7
2329,2015-07-16,2.9,11.9,4.4,1020.1,8.0,5.8
2330,2015-07-17,-1.4,11.5,0.2,1019.1,,3.6
2331,2015-07-18,-1.6,12.4,0.0,1029.5,,2.9
2332,2015-07-19,-1.5,13.0,0.0,1034.7,,3.0
2333,2015-07-20,-1.6,13.7,0.0,1035.3,4.0,2.6
2334,2015-07-21,-0.3,15.9,0.0,1032.4,8.0,4.6
2335,2015-07-22,4.5,13.5,3.0,1023.2,8.0,10.4
2336,2015-07-23,7.5,16.9,2.8,1027.1,8.0,9.2
2337,2015-07-24,2.2,12.8,0.2,1018.1,,6.5
2338,2015-07-25,6.5,13.6,5.8,1019.0,8.0,9.2
2339,2015-07-26,8.2,11.8,3.0,1016.5,8.0,8.6
2340,2015-07-27,0.7,9.5,0.0,1029.1,,3.3
2341,2015-07-28,1.4,13.8,0.0,1036.0,7.0,6.3
2342,2015-07-29,1.0,12.2,0.0,1035.6,8.0,4.5
2343,2015-07-30,3.3,12.5,0.0,1026.0,6.0,7.1
2344,2015-07-31,7.2,13.8,0.2,1021.4,,9.7
2345,2015-08-01,3.8,10.3,1.2,1015.4,7.0,8.8
2346,2015-08-02,7.2,11.9,27.2,1013.4,8.0,8.7
2347,2015-08-03,7.5,11.7,2.6,1017.7,8.0,8.3
2348,2015-08-04,-2.4,8.6,1.4,1025.1,,2.5
2349,2015-08-05,2.2,11.5,4.2,1014.2,8.0,7.2
2350,2015-08-06,2.0,10.9,1.4,1019.9,8.0,5.2
2351,2015-08-07,5.0,12.6,1.4,1025.6,8.0,7.6
2352,2015-08-08,1.3,14.0,0.0,1026.2,8.0,5.1
2353,2015-08-09,0.8,11.0,0.0,1024.3,8.0,4.9
2354,2015-08-10,3.8,15.1,0.0,1016.4,7.0,7.3
2355,2015-08-11,3.0,14.2,1.8,1015.1,,7.5
2356,2015-08-12,1.8,9.0,0.0,1003.9,8.0,7.7
2357,2015-08-13,1.7,12.3,5.4,1019.2,4.0,7.5
2358,2015-08-14,4.2,12.8,0.0,1027.2,8.0,8.6
2359,2015-08-15,2.1,17.0,0.0,1032.0,8.0,6.1
2360,2015-08-16,1.7,15.9,0.2,1028.5,8.0,5.5
2361,2015-08-17,5.5,14.2,0.0,1018.3,8.0,9.8
2362,2015-08-18,-0.9,12.7,0.0,1023.0,,5.3
2363,2015-08-19,-0.1,13.0,0.0,1027.8,8.0,3.8
2364,2015-08-20,0.4,16.8,0.2,1028.6,,7.1
2365,2015-08-21,2.0,16.4,0.0,1024.2,8.0,9.6
2366,2015-08-22,7.9,20.7,1.4,1017.8,3.0,12.9
2367,2015-08-23,8.9,17.7,0.8,1020.3,7.0,11.3
2368,2015-08-24,7.5,13.5,0.0,1018.6,8.0,11.9
2369,2015-08-25,8.8,11.7,15.2,1020.7,8.0,10.1
2370,2015-08-26,5.8,15.0,15.2,1025.5,8.0,11.7
2371,2015-08-27,9.8,15.8,10.6,1020.7,8.0,10.7
2372,2015-08-28,4.2,16.2,0.0,1023.4,8.0,7.7
2373,2015-08-29,1.2,13.7,0.0,1025.0,8.0,5.1
2374,2015-08-30,1.5,15.5,0.2,1023.2,,8.8
2375,2015-08-31,2.2,15.0,0.0,1020.1,,8.3
2376,2015-09-01,1.1,14.9,0.0,1018.2,8.0,5.3
2377,2015-09-02,1.9,17.6,0.0,1016.5,8.0,7.6
2378,2015-09-03,7.5,17.9,23.0,1009.1,8.0,10.3
2379,2015-09-04,3.4,17.5,1.2,1023.3,,9.8
2380,2015-09-05,3.2,17.6,0.0,1024.3,8.0,7.2
2381,2015-09-06,5.2,16.4,0.0,1022.8,8.0,8.7
2382,2015-09-07,8.2,13.6,1.6,1019.6,8.0,9.9
2383,2015-09-08,6.1,14.9,1.0,1020.8,7.0,7.9
2384,2015-09-09,0.7,17.5,0.2,1026.6,,7.1
2385,2015-09-10,4.9,19.0,0.2,1031.7,,10.8
2386,2015-09-11,3.9,19.4,0.0,1031.9,,11.0
2387,2015-09-12,6.0,21.1,0.0,1029.2,,12.1
2388,2015-09-13,6.6,23.2,0.0,1028.1,,15.2
2389,2015-09-14,7.3,24.1,0.0,1023.8,,14.6
2390,2015-09-15,13.3,18.0,0.0,1013.9,7.0,14.8
2391,2015-09-16,2.5,16.7,0.0,1019.1,,10.3
2392,2015-09-17,3.7,17.9,0.0,1021.2,,10.9
2393,2015-09-18,3.6,19.2,0.0,1027.3,,12.9
2394,2015-09-19,6.1,20.4,0.0,1026.8,,13.7
2395,2015-09-20,5.6,21.5,0.0,1023.9,,13.5
2396,2015-09-21,6.4,20.9,0.0,1019.0,8.0,12.6
2397,2015-09-22,6.2,16.3,0.2,1021.8,,10.7
2398,2015-09-23,-0.2,14.9,0.0,1031.7,,9.3
2399,2015-09-24,1.7,16.9,0.0,1031.8,,9.6
2400,2015-09-25,2.9,19.0,0.0,1032.4,,12.3
2401,2015-09-26,4.5,20.1,0.0,1030.9,,13.7
2402,2015-09-27,4.3,21.3,0.0,1025.4,,13.5
2403,2015-09-28,4.8,22.6,0.0,1020.8,,13.2
2404,2015-09-29,6.8,20.1,0.0,1017.7,5.0,15.8
2405,2015-09-30,3.1,19.7,0.0,1022.8,,12.2
2406,2015-10-01,3.7,21.1,0.0,1028.0,,13.2
2407,2015-10-02,4.8,24.6,0.0,1034.4,,14.9
2408,2015-10-03,6.9,27.1,0.0,1032.4,,16.3
2409,2015-10-04,9.6,29.4,0.0,1024.8,,15.4
2410,2015-10-05,10.1,31.0,0.0,1024.5,,16.3
2411,2015-10-06,10.0,34.1,0.0,1020.4,,17.4
2412,2015-10-07,12.0,24.3,0.0,1027.6,3.0,14.6
2413,2015-10-08,10.2,23.1,0.0,1035.2,7.0,14.8
2414,2015-10-09,10.3,27.8,0.0,1032.8,8.0,15.5
2415,2015-10-10,13.2,29.7,0.0,1027.7,,19.0
2416,2015-10-11,15.4,22.1,0.4,1022.2,8.0,16.9
2417,2015-10-12,10.7,24.4,1.8,1016.0,,16.4
2418,2015-10-13,8.7,24.2,0.0,1022.0,,16.0
2419,2015-10-14,10.0,27.1,0.4,1025.0,,16.7
2420,2015-10-15,10.5,32.4,0.0,1023.6,,19.1
2421,2015-10-16,13.1,29.6,0.0,1021.2,8.0,18.2
2422,2015-10-17,16.0,29.0,0.0,1023.0,8.0,19.1
2423,2015-10-18,8.6,27.5,0.0,1026.9,,15.8
2424,2015-10-19,8.3,29.2,0.0,1024.5,,16.0
2425,2015-10-20,11.3,31.8,0.0,1019.4,,18.7
2426,2015-10-21,16.6,24.7,1.6,1012.3,8.0,20.8
2427,2015-10-22,13.3,25.2,0.8,1014.2,,18.5
2428,2015-10-23,14.1,24.6,0.2,1020.8,8.0,16.9
2429,2015-10-24,10.3,26.6,0.0,1021.9,,17.2
2430,2015-10-25,10.0,30.5,0.0,1020.1,,17.7
2431,2015-10-26,17.4,25.9,0.0,1014.7,1.0,19.9
2432,2015-10-27,13.6,25.3,0.0,1024.1,,15.8
2433,2015-10-28,6.2,25.5,0.0,1025.0,,14.8
2434,2015-10-29,9.3,27.9,0.0,1021.7,,18.5
2435,2015-10-30,9.7,28.1,0.0,1020.6,,17.8
2436,2015-10-31,17.1,21.7,5.4,1017.3,7.0,18.2
2437,2015-11-01,15.0,27.3,15.2,1014.0,8.0,17.7
2438,2015-11-02,15.9,27.1,22.8,1010.9,8.0,19.2
2439,2015-11-03,12.3,26.8,0.2,1015.6,,18.2
2440,2015-11-04,14.7,28.7,0.0,1015.0,,20.9
2441,2015-11-05,16.6,21.6,6.6,1008.8,8.0,19.2
2442,2015-11-06,15.2,25.1,4.2,1008.7,7.0,18.2
2443,2015-11-07,12.1,23.4,1.8,1013.9,3.0,15.6
2444,2015-11-08,9.2,25.7,0.0,1020.9,,15.2
2445,2015-11-09,12.0,29.6,0.0,1021.1,,19.0
2446,2015-11-10,15.8,32.3,0.0,1015.4,,22.4
2447,2015-11-11,17.8,28.3,0.0,1017.5,5.0,21.8
2448,2015-11-12,17.9,28.2,10.6,1016.7,8.0,20.7
2449,2015-11-13,15.9,27.5,4.8,1012.8,7.0,19.0
2450,2015-11-14,13.8,26.2,0.0,1013.9,2.0,17.8
2451,2015-11-15,12.4,25.9,0.0,1018.3,2.0,17.4
2452,2015-11-16,11.6,26.7,0.0,1019.8,,18.4
2453,2015-11-17,12.3,31.0,0.0,1018.4,4.0,18.8
2454,2015-11-18,13.3,33.5,0.0,1013.0,,22.3
2455,2015-11-19,18.1,37.2,0.0,1013.7,,24.2
2456,2015-11-20,17.8,34.3,0.0,1009.4,1.0,27.3
2457,2015-11-21,12.4,26.6,0.0,1017.9,,17.2
2458,2015-11-22,9.6,28.3,0.0,1017.7,,19.1
2459,2015-11-23,9.9,26.7,0.0,1013.6,,18.3
2460,2015-11-24,10.2,28.7,0.0,1017.2,,19.1
2461,2015-11-25,10.0,33.8,0.0,1011.6,,19.3
2462,2015-11-26,17.9,21.3,0.0,1004.0,,18.7
2463,2015-11-27,5.7,21.8,0.0,1017.7,,12.8
2464,2015-11-28,8.1,28.3,0.0,1017.3,,16.5
2465,2015-11-29,12.2,27.0,0.0,1013.2,,20.3
2466,2015-11-30,10.0,31.6,0.0,1011.9,,18.0
2467,2015-12-01,17.7,30.1,0.0,1007.0,6.0,24.1
2468,2015-12-02,9.9,22.5,0.2,1018.7,,14.7
2469,2015-12-03,9.6,29.3,0.0,1026.1,,17.7
2470,2015-12-04,13.4,32.0,0.0,1024.4,,21.6
2471,2015-12-05,14.4,34.1,0.0,1021.0,8.0,23.5
2472,2015-12-06,17.9,36.5,0.0,1018.1,,25.5
2473,2015-12-07,21.6,33.6,0.0,1016.3,8.0,23.3
2474,2015-12-08,21.1,30.7,0.8,1014.5,8.0,21.4
2475,2015-12-09,19.7,30.7,10.2,1014.3,,23.2
2476,2015-12-10,14.2,31.5,0.0,1013.9,,22.5
2477,2015-12-11,15.3,27.0,0.0,1008.7,,20.7
2478,2015-12-12,8.9,24.6,0.0,1016.5,,14.1
2479,2015-12-13,9.4,27.9,0.0,1017.4,,17.9
2480,2015-12-14,11.3,34.8,0.0,1015.4,,20.6
2481,2015-12-15,15.6,33.2,0.0,1013.4,8.0,20.5
2482,2015-12-16,15.5,34.3,0.0,1014.0,,24.0
2483,2015-12-17,16.7,34.1,0.0,1016.4,,24.8
2484,2015-12-18,16.5,37.1,0.0,1015.6,,26.1
2485,2015-12-19,20.8,40.0,0.0,1013.5,8.0,26.7
2486,2015-12-20,19.7,41.5,0.0,1008.3,,33.7
2487,2015-12-21,18.0,25.3,10.0,1015.9,,19.5
2488,2015-12-22,17.0,30.3,0.0,1020.6,,21.2
2489,2015-12-23,17.7,30.0,0.0,1018.6,7.0,22.2
2490,2015-12-24,15.3,31.6,0.0,1017.9,,22.3
2491,2015-12-25,17.7,32.0,0.0,1015.7,,22.6
2492,2015-12-26,18.8,23.1,3.2,1004.4,8.0,19.2
2493,2015-12-27,10.2,25.0,9.8,1018.7,,16.6
2494,2015-12-28,12.8,28.2,0.0,1023.9,4.0,17.9
2495,2015-12-29,13.2,32.3,0.0,1022.2,,21.3
2496,2015-12-30,15.7,34.3,0.0,1018.1,,23.4
