Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
2020-01-01,2020,1,1,3,-2.5,0.3,17.7,0,0,0,0,1
2020-01-02,2020,1,2,6.5,-3.5,1.5,16.5,0,0,0,0,0
2020-01-03,2020,1,3,7,3,5,13,0,0,4,1.6,0
2020-01-04,2020,1,4,2.5,-0.5,1,17,0,0,0.6,1.4,4
2020-01-05,2020,1,5,1.5,-3.5,-1,19,0,0,5.4,4.8,0
2020-01-06,2020,1,6,2,-2,0,18,0,0,0,0,5
2020-01-07,2020,1,7,4,-7.5,-1.8,19.8,0,0,0.8,0.6,3
2020-01-08,2020,1,8,-3.5,-7,-5.3,23.3,0,0,0,0,3
2020-01-09,2020,1,9,6.5,-13,-3.3,21.3,0,0,0,0,3
2020-01-10,2020,1,10,9.5,-4,2.8,15.2,0,13.8,0,13.8,0
2020-01-11,2020,1,11,12,2.5,7.3,10.7,0,73,0.2,73,0
2020-01-12,2020,1,12,-3,-7,-5,23,0,0,0,0,0
2020-01-13,2020,1,13,1.5,-6,-2.3,20.3,0,0,0,0,0
2020-01-14,2020,1,14,3,-1,1,17,0,0,0,0,0
2020-01-15,2020,1,15,4,-0.5,1.8,16.2,0,0,0,0,0
2020-01-16,2020,1,16,3,-1,1,17,0,0,0.4,0.8,0
2020-01-17,2020,1,17,-5.5,-15.5,-10.5,28.5,0,0,0,0,0
2020-01-18,2020,1,18,2,-10,-4,22,0,0,17,17.6,0
2020-01-19,2020,1,19,-3,-8,-5.5,23.5,0,0,0,0,16
2020-01-20,2020,1,20,-4,-17,-10.5,28.5,0,0,0,0,14
2020-01-21,2020,1,21,-2,-15,-8.5,26.5,0,0,0,0,13
2020-01-22,2020,1,22,1.5,-7.5,-3,21,0,0,0,0,12
2020-01-23,2020,1,23,4,-9.5,-2.8,20.8,0,0,0,0,11
2020-01-24,2020,1,24,4.5,-2,1.3,16.7,0,27,0,27,11
2020-01-25,2020,1,25,3,1,2,16,0,1,0,1.2,6
2020-01-26,2020,1,26,3.5,0,1.8,16.2,0,2.6,0,2.6,4
2020-01-27,2020,1,27,2,-0.5,0.8,17.2,0,0,0,0,2
2020-01-28,2020,1,28,1.5,-1.5,0,18,0,0,0,0,1
2020-01-29,2020,1,29,-2,-8,-5,23,0,0,0,0,0
2020-01-30,2020,1,30,-2.5,-9,-5.8,23.8,0,0,0,0,0
2020-01-31,2020,1,31,-0.5,-6,-3.3,21.3,0,0,1,1,0
2020-02-01,2020,2,1,0.5,-5,-2.3,20.3,0,0,2,1.4,0
2020-02-02,2020,2,2,3,-2,0.5,17.5,0,1.6,3.2,5.8,3
2020-02-03,2020,2,3,5,-0.5,2.3,15.7,0,0,0,0,5
2020-02-04,2020,2,4,2,-2,0,18,0,0,0,0,3
2020-02-05,2020,2,5,-3,-9,-6,24,0,0,3.2,4.6,2
2020-02-06,2020,2,6,-3,-6,-4.5,22.5,0,0,3.8,5.2,6
2020-02-07,2020,2,7,-4,-6,-5,23,0,0,0.2,0.2,9
2020-02-08,2020,2,8,-6.5,-15.5,-11,29,0,0,0,0,9
2020-02-09,2020,2,9,2,-14.5,-6.3,24.3,0,0,8.6,8.2,9
2020-02-10,2020,2,10,4.5,-1,1.8,16.2,0,0,0,0,17
2020-02-11,2020,2,11,2.5,-1,0.8,17.2,0,0,0,0,12
2020-02-12,2020,2,12,2,-4,-1,19,0,0,4.4,1.6,10
2020-02-13,2020,2,13,0,-8,-4,22,0,0,1.4,1.4,15
2020-02-14,2020,2,14,-7.5,-22,-14.8,32.8,0,0,0,0,16
2020-02-15,2020,2,15,0.5,-12.5,-6,24,0,0,0,0,15
2020-02-16,2020,2,16,3.5,-4.5,-0.5,18.5,0,0,0,0,14
2020-02-17,2020,2,17,1.5,-7.5,-3,21,0,0,5,7.8,14
2020-02-18,2020,2,18,5,-3.5,0.8,17.2,0,0,0,0,19
2020-02-19,2020,2,19,-1,-3.5,-2.3,20.3,0,0,0,0,12
2020-02-20,2020,2,20,-4.5,-9.5,-7,25,0,0,0,0,12
2020-02-21,2020,2,21,1,-11,-5,23,0,0,0,0,12
2020-02-22,2020,2,22,6,-5,0.5,17.5,0,0,0,0,12
2020-02-23,2020,2,23,9,-3,3,15,0,0,0,0,10
2020-02-24,2020,2,24,9.5,0,4.8,13.2,0,0.6,0.8,1.8,9
2020-02-25,2020,2,25,4.5,0,2.3,15.7,0,0,0.4,0.4,8
2020-02-26,2020,2,26,-0.5,-2,-1.3,19.3,0,0,14,16.2,7
2020-02-27,2020,2,27,-3.5,-6.5,-5,23,0,0,0,0,18
2020-02-28,2020,2,28,-3.5,-7,-5.3,23.3,0,0,4,1.8,18
2020-02-29,2020,2,29,-4,-15.5,-9.8,27.8,0,0,0,0,19
2020-03-01,2020,3,1,5.5,-14,-4.3,22.3,0,0,0,0,14
2020-03-02,2020,3,2,6.5,-1.5,2.5,15.5,0,1.8,0,1.8,13
2020-03-03,2020,3,3,4,-2.5,0.8,17.2,0,10.2,0,10.2,11
2020-03-04,2020,3,4,6,1,3.5,14.5,0,0,0,0,8
2020-03-05,2020,3,5,6.5,-3,1.8,16.2,0,0,0,0,4
2020-03-06,2020,3,6,3,-1.5,0.8,17.2,0,0,1.8,2.2,1
2020-03-07,2020,3,7,4.5,-8,-1.8,19.8,0,0,0,0,0
2020-03-08,2020,3,8,13,-1.5,5.8,12.2,0,0,0,0,0
2020-03-09,2020,3,9,17.5,7,12.3,5.7,0,3.2,0,3.2,0
2020-03-10,2020,3,10,11.5,1.5,6.5,11.5,0,1.6,0,1.6,0
2020-03-11,2020,3,11,4,-5,-0.5,18.5,0,0,0,0,0
2020-03-12,2020,3,12,8.5,-2,3.3,14.7,0,3.8,0,3.8,0
2020-03-13,2020,3,13,,,,,,,,,
2020-03-14,2020,3,14,,,,,,,,,
2020-03-15,2020,3,15,4.5,-4.5,0,18,0,0,0,0,0
2020-03-16,2020,3,16,4.5,-7,-1.3,19.3,0,0.4,0.4,0.8,0
2020-03-17,2020,3,17,8.5,-0.5,4,14,0,0,0,0,0
2020-03-18,2020,3,18,,,,,,,,,
2020-03-19,2020,3,19,16,-4,6,12,0,2.8,0,2.8,0
2020-03-20,2020,3,20,18,5,11.5,6.5,0,3.2,0,3.2,0
2020-03-21,2020,3,21,1,-9,-4,22,0,0,0,0,0
2020-03-22,2020,3,22,2,-7.5,-2.8,20.8,0,0,3,2.8,0
2020-03-23,2020,3,23,3.5,-2,0.8,17.2,0,4.4,0,4.4,3
2020-03-24,2020,3,24,6.5,0,3.3,14.7,0,0,0,0,0
2020-03-25,2020,3,25,11.5,-1,5.3,12.7,0,0,0,0,0
2020-03-26,2020,3,26,,,,,,,,,
2020-03-27,2020,3,27,,,,,,,,,
2020-03-28,2020,3,28,9,-0.5,4.3,13.7,0,5.2,0,5.2,0
2020-03-29,2020,3,29,18,4.5,11.3,6.7,0,11.4,0,11.4,0
2020-03-30,2020,3,30,8,5.5,6.8,11.2,0,2.2,0,2.2,0
2020-03-31,2020,3,31,6.5,4,5.3,12.7,0,0.6,0,0.6,0
2020-04-01,2020,4,1,12,0,6,12,0,0,0,0,0
2020-04-02,2020,4,2,14,2,8,10,0,0,0,0,0
2020-04-03,2020,4,3,12,1,6.5,11.5,0,1,0,1,0
2020-04-04,2020,4,4,11.5,5.5,8.5,9.5,0,0,0,0,0
2020-04-05,2020,4,5,10.5,4.5,7.5,10.5,0,0,0,0,0
2020-04-06,2020,4,6,15,-2.5,6.3,11.7,0,0,0,0,0
2020-04-07,2020,4,7,,,,,,,,,
2020-04-08,2020,4,8,,,,,,,,,
2020-04-09,2020,4,9,,,,,,,,,
2020-04-10,2020,4,10,,,,,,,,,
2020-04-11,2020,4,11,,,,,,,,,
2020-04-12,2020,4,12,15,-1.5,6.8,11.2,0,12,0,12,0
2020-04-13,2020,4,13,,,,,,,,,
2020-04-14,2020,4,14,,,,,,,,,
2020-04-15,2020,4,15,,,,,,,,,
2020-04-16,2020,4,16,,,,,,,,,
2020-04-17,2020,4,17,,,,,,,,,
2020-04-18,2020,4,18,,,,,,,,,
2020-04-19,2020,4,19,,,,,,,,,
2020-04-20,2020,4,20,,,,,,,,,
2020-04-21,2020,4,21,,,,,,,,,
2020-04-22,2020,4,22,,,,,,,,,
2020-04-23,2020,4,23,7,-5.5,0.8,17.2,0,0,0,0,0
2020-04-24,2020,4,24,11,3,7,11,0,1.2,0,1.2,0
2020-04-25,2020,4,25,14.5,-2.5,6,12,0,0,0,0,0
2020-04-26,2020,4,26,12,7,9.5,8.5,0,2,0,2,0
2020-04-27,2020,4,27,,,,,,,,,
2020-04-28,2020,4,28,,,,,,,,,
2020-04-29,2020,4,29,,,,,,,,,
2020-04-30,2020,4,30,,,,,,,,,
2020-05-01,2020,5,1,,,,,,,,,
2020-05-02,2020,5,2,17,3.5,10.3,7.7,0,0.7,0,0.7,0
2020-05-03,2020,5,3,,,,,,,,,
2020-05-04,2020,5,4,,,,,,,,,
2020-05-05,2020,5,5,,,,,,,,,
2020-05-06,2020,5,6,,,,,,,,,
2020-05-07,2020,5,7,,,,,,,,,
2020-05-08,2020,5,8,5.5,-1,2.3,15.7,0,0,0,0,0
2020-05-09,2020,5,9,,,,,,,,,
2020-05-10,2020,5,10,8.5,-1,3.8,14.2,0,5.4,0,5.8,0
2020-05-11,2020,5,11,8,-0.5,3.8,14.2,0,0.6,0,0.6,0
2020-05-12,2020,5,12,8.5,-2.5,3,15,0,0,0,0,0
2020-05-13,2020,5,13,,,,,,,,,
2020-05-14,2020,5,14,,,,,,,,,
2020-05-15,2020,5,15,,,,,,,,,
2020-05-16,2020,5,16,19,8,13.5,4.5,0,0,0,0,0
2020-05-17,2020,5,17,17.5,6,11.8,6.2,0,7.6,0,7.6,0
2020-05-18,2020,5,18,15,12,13.5,4.5,0,18,0,18,0
2020-05-19,2020,5,19,18,12.5,15.3,2.7,0,0,0,0,0
2020-05-20,2020,5,20,19.5,7,13.3,4.7,0,0,0,0,0
2020-05-21,2020,5,21,22.5,3.5,13,5,0,0,0,0,0
2020-05-22,2020,5,22,26.5,6,16.3,1.7,0,0,0,0,0
2020-05-23,2020,5,23,25.5,10.5,18,0,0,0,0,0,0
2020-05-24,2020,5,24,,,,,,,,,0
2020-05-25,2020,5,25,,,,,,,,,
2020-05-26,2020,5,26,32,15.5,23.8,0,5.8,0,0,0,0
2020-05-27,2020,5,27,,,,,,,,,
2020-05-28,2020,5,28,,,,,,,,,
2020-05-29,2020,5,29,,,,,,,,,
2020-05-30,2020,5,30,19.5,11,15.3,2.7,0,2,0,2,0
2020-05-31,2020,5,31,16,6.5,11.3,6.7,0,0,0,0,0
2020-06-01,2020,6,1,23.5,7,15.3,2.7,0,0.2,0,0.2,0
2020-06-02,2020,6,2,,,,,,,,,
2020-06-03,2020,6,3,28,12,20,0,2,0.4,0,0.4,0
2020-06-04,2020,6,4,,,,,,,,,
2020-06-05,2020,6,5,,,,,,,,,
2020-06-06,2020,6,6,,,,,,,,,
2020-06-07,2020,6,7,21.5,10,15.8,2.2,0,0,0,0,0
2020-06-08,2020,6,8,24.5,8,16.3,1.7,0,0,0,0,0
2020-06-09,2020,6,9,33.5,12.5,23,0,5,4,0,4,0
2020-06-10,2020,6,10,,,,,,,,,
2020-06-11,2020,6,11,,,,,,,,,
2020-06-12,2020,6,12,,,,,,,,,
2020-06-13,2020,6,13,,,,,,,,,
2020-06-14,2020,6,14,,,,,,,,,
2020-06-15,2020,6,15,,,,,,,,,
2020-06-16,2020,6,16,,,,,,,,,
2020-06-17,2020,6,17,,,,,,,,,
2020-06-18,2020,6,18,,,,,,,,,
2020-06-19,2020,6,19,31,5.5,18.3,0,0.3,0,0,0,0
2020-06-20,2020,6,20,,,,,,,,,
2020-06-21,2020,6,21,,,,,,,,,
2020-06-22,2020,6,22,,,,,,,,,
2020-06-23,2020,6,23,26,17,21.5,0,3.5,3.6,0,3.6,0
2020-06-24,2020,6,24,,,,,,,,,
2020-06-25,2020,6,25,,,,,,,,,
2020-06-26,2020,6,26,,,,,,,,,
2020-06-27,2020,6,27,,,,,,,,,
2020-06-28,2020,6,28,,,,,,,,,
2020-06-29,2020,6,29,,,,,,,,,
2020-06-30,2020,6,30,29,17,23,0,5,0,0,0,0
2020-07-01,2020,7,1,31,16,23.5,0,5.5,0,0,0,0
2020-07-02,2020,7,2,,,,,,,,,
2020-07-03,2020,7,3,,,,,,,,,0
2020-07-04,2020,7,4,,,,,,,,,
2020-07-05,2020,7,5,,,,,,,,,
2020-07-06,2020,7,6,33,13,23,0,5,0,0,0,0
2020-07-07,2020,7,7,35.5,18,26.8,0,8.8,0,0,0,0
2020-07-08,2020,7,8,34.5,21.5,28,0,10,0,0,0,0
2020-07-09,2020,7,9,,,,,,,,,
2020-07-10,2020,7,10,,,,,,,,,
2020-07-11,2020,7,11,28.5,21,24.8,0,6.8,4.8,0,4.8,0
2020-07-12,2020,7,12,,,,,,,,,
2020-07-13,2020,7,13,,,,,,,,,
2020-07-14,2020,7,14,29,17.5,23.3,0,5.3,0,0,0,0
2020-07-15,2020,7,15,,,,,,,,,
2020-07-16,2020,7,16,27,20,23.5,0,5.5,0.8,0,0.8,0
2020-07-17,2020,7,17,33,20,26.5,0,8.5,0,0,0,0
2020-07-18,2020,7,18,,,,,,,,,
2020-07-19,2020,7,19,,,,,,,,,
2020-07-20,2020,7,20,,,,,,,,,
2020-07-21,2020,7,21,,,,,,,,,
2020-07-22,2020,7,22,28,18,23,0,5,20.4,0,20.4,0
2020-07-23,2020,7,23,,,,,,,,,
2020-07-24,2020,7,24,,,,,,,,,
2020-07-25,2020,7,25,31.5,16,23.8,0,5.8,0,0,0,0
2020-07-26,2020,7,26,34,18.5,26.3,0,8.3,0,0,0,0
2020-07-27,2020,7,27,32.5,24,28.3,0,10.3,6.8,0,6.8,0
2020-07-28,2020,7,28,,,,,,,,,
2020-07-29,2020,7,29,,,,,,,,,
2020-07-30,2020,7,30,,,,,,,,,
2020-07-31,2020,7,31,,,,,,,,,
2020-08-01,2020,8,1,31,16.5,23.8,0,5.8,23.2,0,23.2,0
2020-08-02,2020,8,2,28.5,19.5,24,0,6,15.4,0,15.4,0
2020-08-03,2020,8,3,,,,,,,,,
2020-08-04,2020,8,4,,,,,,,,,
2020-08-05,2020,8,5,,,,,,,,,
2020-08-06,2020,8,6,,,,,,,,,
2020-08-07,2020,8,7,,,,,,,,,
2020-08-08,2020,8,8,,,,,,,,,
2020-08-09,2020,8,9,,,,,,,,,
2020-08-10,2020,8,10,,,,,,,,,
2020-08-11,2020,8,11,,,,,,,,,
2020-08-12,2020,8,12,,,,,,,,,
2020-08-13,2020,8,13,31,17,24,0,6,0,0,0,0
2020-08-14,2020,8,14,30,19,24.5,0,6.5,0,0,0,0
2020-08-15,2020,8,15,28.5,15,21.8,0,3.8,0,0,0,0
2020-08-16,2020,8,16,25,18.5,21.8,0,3.8,10,0,10,0
2020-08-17,2020,8,17,27,15,21,0,3,0.6,0,0.6,0
2020-08-18,2020,8,18,25,14,19.5,0,1.5,0,0,0,0
2020-08-19,2020,8,19,23.5,12.5,18,0,0,0,0,0,0
2020-08-20,2020,8,20,28,9,18.5,0,0.5,0,0,0,0
2020-08-21,2020,8,21,30.5,16,23.3,0,5.3,0,0,0,0
2020-08-22,2020,8,22,,,,,,,,,
2020-08-23,2020,8,23,,,,,,,,,
2020-08-24,2020,8,24,33.5,19,26.3,0,8.3,0,0,0,0
2020-08-25,2020,8,25,26.5,21,23.8,0,5.8,0,0,0,0
2020-08-26,2020,8,26,23.5,13,18.3,0,0.3,12,0,12,0
2020-08-27,2020,8,27,30.5,17.5,24,0,6,0.2,0,0.2,0
2020-08-28,2020,8,28,23,15,19,0,1,2.6,0,2.6,0
2020-08-29,2020,8,29,26.5,18.5,22.5,0,4.5,2.6,0,2.6,0
2020-08-30,2020,8,30,23.5,15,19.3,0,1.3,0,0,0,0
2020-08-31,2020,8,31,24.5,12,18.3,0,0.3,0,0,0,0
2020-09-01,2020,9,1,,,,,,,,,
2020-09-02,2020,9,2,,,,,,,,,
2020-09-03,2020,9,3,28,12.5,20.3,0,2.3,3.6,0,3.6,0
2020-09-04,2020,9,4,,,,,,,,,
2020-09-05,2020,9,5,,,,,,,,,
2020-09-06,2020,9,6,,,,,,,,,
2020-09-07,2020,9,7,,,,,,,,,
2020-09-08,2020,9,8,,,,,,,,,
2020-09-09,2020,9,9,,,,,,,,,
2020-09-10,2020,9,10,19,16,17.5,0.5,0,0.6,0,0.6,0
2020-09-11,2020,9,11,19.5,12,15.8,2.2,0,0,0,0,0
2020-09-12,2020,9,12,21,7.5,14.3,3.7,0,0,0,0,0
2020-09-13,2020,9,13,26,17.5,21.8,0,3.8,3.8,0,3.8,0
2020-09-14,2020,9,14,17.5,12,14.8,3.2,0,0,0,0,0
2020-09-15,2020,9,15,19.5,4,11.8,6.2,0,0,0,0,0
2020-09-16,2020,9,16,25.5,11.5,18.5,0,0.5,0,0,0,0
2020-09-17,2020,9,17,19,12.5,15.8,2.2,0,0,0,0,0
2020-09-18,2020,9,18,16,4,10,8,0,0,0,0,0
2020-09-19,2020,9,19,16.5,0,8.3,9.7,0,0,0,0,0
2020-09-20,2020,9,20,18,5.5,11.8,6.2,0,0,0,0,0
2020-09-21,2020,9,21,,,,,,,,,
2020-09-22,2020,9,22,,,,,,,,,
2020-09-23,2020,9,23,,,,,,,,,
2020-09-24,2020,9,24,,,,,,,,,
2020-09-25,2020,9,25,27,12.5,19.8,0,1.8,0,0,0,0
2020-09-26,2020,9,26,26,12,19,0,1,0,0,0,0
2020-09-27,2020,9,27,27,18,22.5,0,4.5,0,0,0,0
2020-09-28,2020,9,28,27,17,22,0,4,12.6,0,12.6,0
2020-09-29,2020,9,29,19.5,12,15.8,2.2,0,1,0,1,0
2020-09-30,2020,9,30,18,10.5,14.3,3.7,0,4.4,0,4.4,0
2020-10-01,2020,10,1,18,10,14,4,0,0.2,0,0.2,0
2020-10-02,2020,10,2,,,,,,,,,
2020-10-03,2020,10,3,,,,,,,,,
2020-10-04,2020,10,4,,,,,,,,,
2020-10-05,2020,10,5,16,1,8.5,9.5,0,0,0,0,0
2020-10-06,2020,10,6,19.5,5,12.3,5.7,0,0.2,0,0.2,0
2020-10-07,2020,10,7,19,12.5,15.8,2.2,0,2.6,0,2.6,0
2020-10-08,2020,10,8,,,,,,,,,
2020-10-09,2020,10,9,,,,,,,,,
2020-10-10,2020,10,10,,,,,,,,,
2020-10-11,2020,10,11,12,1.5,6.8,11.2,0,0,0,0,0
2020-10-12,2020,10,12,16,6,11,7,0,5.8,0,5.8,0
2020-10-13,2020,10,13,18.5,10,14.3,3.7,0,0,0,0,0
2020-10-14,2020,10,14,17,7,12,6,0,0.6,0,0.6,0
2020-10-15,2020,10,15,15,10,12.5,5.5,0,10.4,0,10.4,0
2020-10-16,2020,10,16,12,4,8,10,0,0,0,0,0
2020-10-17,2020,10,17,13.5,0,6.8,11.2,0,0,0,0,0
2020-10-18,2020,10,18,,,,,,,,,
2020-10-19,2020,10,19,,,,,,,,,
2020-10-20,2020,10,20,,,,,,,,,
2020-10-21,2020,10,21,16.5,5,10.8,7.2,0,2.8,0,2.8,0
2020-10-22,2020,10,22,12.5,5,8.8,9.2,0,0.2,0,0.2,0
2020-10-23,2020,10,23,,,,,,,,,
2020-10-24,2020,10,24,8,4,6,12,0,0,0,0,0
2020-10-25,2020,10,25,7,1,4,14,0,1.2,0,1.2,0
2020-10-26,2020,10,26,8,2,5,13,0,0,0,0,0
2020-10-27,2020,10,27,6,4.5,5.3,12.7,0,8.4,0,8.4,0
2020-10-28,2020,10,28,,,,,,,,,
2020-10-29,2020,10,29,,,,,,,,,
2020-10-30,2020,10,30,,,,,,,,,
2020-10-31,2020,10,31,11,-7.5,1.8,16.2,0,,0,0,0
2020-11-01,2020,11,1,8.5,0,4.3,13.7,0,0.2,4,6.6,0
2020-11-02,2020,11,2,7,-2.5,2.3,15.7,0,0,0,0,3
2020-11-03,2020,11,3,7,3,5,13,0,0,0,0,0
2020-11-04,2020,11,4,,,,,,,,,
2020-11-05,2020,11,5,,,,,,,,,
2020-11-06,2020,11,6,21,4.5,12.8,5.2,0,0,0,0,0
2020-11-07,2020,11,7,,,,,,,,,
2020-11-08,2020,11,8,,,,,,,,,
2020-11-09,2020,11,9,,,,,,,,,
2020-11-10,2020,11,10,24.5,5.5,15,3,0,1,0,1,0
2020-11-11,2020,11,11,18,10.5,14.3,3.7,0,0,0,0,0
2020-11-12,2020,11,12,11,4,7.5,10.5,0,0,0,0,0
2020-11-13,2020,11,13,9,-1,4,14,0,0.2,0,0.2,0
2020-11-14,2020,11,14,8.5,2,5.3,12.7,0,3.2,0,3.2,0
2020-11-15,2020,11,15,12.5,-1.5,5.5,12.5,0,0.6,0,0.6,0
2020-11-16,2020,11,16,5,2,3.5,14.5,0,0,0,0,0
2020-11-17,2020,11,17,,,,,,,,,
2020-11-18,2020,11,18,,,,,,,,,
2020-11-19,2020,11,19,,,,,,,,,
2020-11-20,2020,11,20,17.5,12,14.8,3.2,0,0,0,0,0
2020-11-21,2020,11,21,5.5,2.5,4,14,0,0,0,0,0
2020-11-22,2020,11,22,1,-3.5,-1.3,19.3,0,0,22.4,23.2,0
2020-11-23,2020,11,23,4,-1,1.5,16.5,0,0,0,0,14
2020-11-24,2020,11,24,3,-2,0.5,17.5,0,0.8,1,1.8,13
2020-11-25,2020,11,25,7,-1,3,15,0,7,0,7,12
2020-11-26,2020,11,26,11,4,7.5,10.5,0,0,0,0,0
2020-11-27,2020,11,27,8,6,7,11,0,0,0,0,0
2020-11-28,2020,11,28,7.5,2,4.8,13.2,0,0,0,0,0
2020-11-29,2020,11,29,11,-2,4.5,13.5,0,0,0,0,0
2020-11-30,2020,11,30,4.5,1.5,3,15,0,19,5.4,25.4,0
2020-12-01,2020,12,1,0,-2.5,-1.3,19.3,0,0,3.8,3.4,4
2020-12-02,2020,12,2,4,-3,0.5,17.5,0,0,0,0,0
2020-12-03,2020,12,3,5,-3,1,17,0,1.4,1.6,4.8,2
2020-12-04,2020,12,4,3,0,1.5,16.5,0,0,0,0,4
2020-12-05,2020,12,5,0.5,-2.5,-1,19,0,0,0,0,1
2020-12-06,2020,12,6,1,-7,-3,21,0,0,0,0,0
2020-12-07,2020,12,7,0,-7,-3.5,21.5,0,0,0,0,0
2020-12-08,2020,12,8,1.5,-7,-2.8,20.8,0,0,9,8,0
2020-12-09,2020,12,9,4,-0.5,1.8,16.2,0,0,0,0,8
2020-12-10,2020,12,10,5,1.5,3.3,14.7,0,0,0,0,3
2020-12-11,2020,12,11,9,-2.5,3.3,14.7,0,0,0,0,0
2020-12-12,2020,12,12,9,2.5,5.8,12.2,0,8,0,8,0
2020-12-13,2020,12,13,1,-1,0,18,0,0,0,0,0
2020-12-14,2020,12,14,1.5,-1.5,0,18,0,0,0,0,0
2020-12-15,2020,12,15,-2,-5.5,-3.8,21.8,0,0,0,0,0
2020-12-16,2020,12,16,-6.5,-10,-8.3,26.3,0,0,0.6,0.6,0
2020-12-17,2020,12,17,-2,-9,-5.5,23.5,0,0,0,0,0
2020-12-18,2020,12,18,0,-11.5,-5.8,23.8,0,0,0,0,0
2020-12-19,2020,12,19,2,-8,-3,21,0,2.8,0.4,3.4,0
2020-12-20,2020,12,20,4.5,0,2.3,15.7,0,0.6,0,0.6,0
2020-12-21,2020,12,21,4.5,-2,1.3,16.7,0,0.2,0,0.2,0
2020-12-22,2020,12,22,3,-1,1,17,0,0,0,0,0
2020-12-23,2020,12,23,8.5,0,4.3,13.7,0,5.6,0,5.6,0
2020-12-24,2020,12,24,8,2,5,13,0,0.8,10,14,0
2020-12-25,2020,12,25,-0.5,-3,-1.8,19.8,0,0,4.6,3.2,10
2020-12-26,2020,12,26,-2,-6,-4,22,0,0,0.6,0.4,15
2020-12-27,2020,12,27,4.5,-4.5,0,18,0,6.4,0,6.4,15
2020-12-28,2020,12,28,2,-1,0.5,17.5,0,0.2,0,0.2,8
2020-12-29,2020,12,29,-1.5,-5.5,-3.5,21.5,0,0,2.2,2.4,6
2020-12-30,2020,12,30,5,-7,-1,19,0,2.2,0,2.2,7
2020-12-31,2020,12,31,1.5,-1,0.3,17.7,0,0,0,0,3
